Data Source;Indicateurs du développement dans le monde;Column1;_1;_59
Burkina Faso;BFA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.56300020217896
Bangladesh;BGD;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.36999988555908
Bulgarie;BGR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.15999984741211
Bahreïn;BHR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.18299996852875
Bahamas;BHS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;9.80000019073486
Bosnie-Herzégovine;BIH;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;20.5300006866455
Bélarus;BLR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.65000009536743
Belize;BLZ;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.59999990463257
Bermudes;BMU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Bolivie;BOL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.65000009536743
Brésil;BRA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;12.8199996948242
Barbade;BRB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.61999988555908
Brunéi Darussalam;BRN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;9.31999969482422
Bhoutan;BTN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.45300006866455
Botswana;BWA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;21.5659999847412
République centrafricaine;CAF;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.64799976348877
Canada;CAN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.34000015258789
Europe centrale et les pays baltes;CEB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.29679898072446
Suisse;CHE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.80000019073486
Îles Anglo-Normandes;CHI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.13800001144409
Chili;CHL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.96000003814697
Chine;CHN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.44000005722046
Côte d'Ivoire;CIV;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.26999998092651
Cameroun;CMR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.59999990463257
Congo, République démocratique du;COD;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.46500015258789
Congo, République du;COG;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;20.5590000152588
Colombie;COL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.86999988555908
Comores;COM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.08600044250488
Cabo Verde;CPV;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;12.2399997711182
Costa Rica;CRI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.14000034332275
Petits états des Caraïbes;CSS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;9.763381883136
Cuba;CUB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.70000004768372
Curacao;CUW;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Îles Caïmans;CYM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Chypre;CYP;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;11.0500001907349
République tchèque;CZE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.89000010490417
Allemagne;DEU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.75
Djibouti;DJI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;26.0599994659424
Dominique;DMA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Danemark;DNK;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.82999992370605
République dominicaine;DOM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.82999992370605
Algérie;DZA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;10.3330001831055
Asie de l’Est et Pacifique (hors revenu élevé);EAP;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.90993666774164
de dividende précoce démographique;EAR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.64561153921495
Asie de l’Est et Pacifique;EAS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.86379502021625
Europe et Asie centrale (hors revenu élevé);ECA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.38079515192192
Europe et Asie centrale;ECS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.4750924185438
Équateur;ECU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.83999991416931
Égypte, République arabe d’;EGY;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;11.7399997711182
Zone euro;EMU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;9.04738352660696
Érythrée;ERI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.94299983978271
Espagne;ESP;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;17.2199993133545
Estonie;EST;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.76000022888184
Éthiopie;ETH;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.29900002479553
Union européenne;EUU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.13580439961203
Fragile et les situations de conflit touchées;FCS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.6352150263599
Finlande;FIN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.64000034332275
Fidji;FJI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.27799987792969
France;FRA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;9.40999984741211
Îles Féroé;FRO;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Micronésie, États fédérés de;FSM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Gabon;GAB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;20.7210006713867
Royaume-Uni;GBR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.32999992370605
Géorgie;GEO;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;13.9399995803833
Ghana;GHA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.21999979019165
Gibraltar;GIB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Guinée;GIN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.91400003433228
Gambie;GMB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;9.48499965667725
Guinée-Bissau;GNB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.98600006103516
Guinée équatoriale;GNQ;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.64799976348877
Grèce;GRC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;21.4899997711182
Grenade;GRD;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Groenland;GRL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Guatemala;GTM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.46000003814697
Guam;GUM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.43499994277954
Guyana;GUY;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;13.746000289917
Revenu élevé;HIC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.58756902379099
Chine, RAS de Hong Kong;HKG;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.13000011444092
Honduras;HND;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.53000020980835
Pays pauvres très endettés (PPTE);HPC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.6612873057925
Croatie;HRV;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;11.210000038147
Haïti;HTI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;13.8769998550415
Hongrie;HUN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.15999984741211
BIRD seulement;IBD;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.761480503486
BIRD et IDA;IBT;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.56840297133944
IDA totale;IDA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.88033326106772
IDA mélange;IDB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.61262915276044
Indonésie;IDN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.88000011444092
IDA seulement;IDX;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.55574881717604
Île de Man;IMN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Inde;IND;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.35799980163574
Non classifié;INX;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Irlande;IRL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.71000003814697
Iran, République islamique d’;IRN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;12.2299995422363
Iraq;IRQ;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;13.0200004577637
Islande;ISL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.74000000953674
Israël;ISR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.21999979019165
Italie;ITA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;11.210000038147
Jamaïque;JAM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;11.6300001144409
Jordanie;JOR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;18.1399993896484
Japon;JPN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.79999995231628
Kazakhstan;KAZ;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.90000009536743
Kenya;KEN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.51300001144409
République kirghize;KGZ;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.8899998664856
Cambodge;KHM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;0.140000000596046
Kiribati;KIR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Saint-Kitts-et-Nevis;KNA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Corée, République de;KOR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.65000009536743
Koweït;KWT;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.19700002670288
Amérique latine et Caraïbes (hors revenu élevé);LAC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.1841698423978
République démocratique populaire lao;LAO;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;0.805000007152557
Liban;LBN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;10.2740001678467
Libéria;LBR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.04900002479553
Libye;LBY;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;19.371000289917
Sainte-Lucie;LCA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;18.8600006103516
Amérique latine et Caraïbes;LCN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.98767157210665
Pays les moins avancés: classement de l’ONU;LDC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.58858086205572
Faible revenu;LIC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.0892342529218
Liechtenstein;LIE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Sri Lanka;LKA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.05000019073486
Revenu intermédiaire, tranche inférieure;LMC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.25036000576587
Revenu faible et intermédiaire;LMY;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.55326462480078
Lesotho;LSO;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;23.2000007629395
de dividende tardif démographique;LTE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.23200657203548
Lituanie;LTU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.07000017166138
Luxembourg;LUX;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.51999998092651
Lettonie;LVA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.72000026702881
Région administrative spéciale de Macao, Chine;MAC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.99000000953674
Saint-Martin (fr);MAF;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Maroc;MAR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;9.24199962615967
Monaco;MCO;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Moldova;MDA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.09999990463257
Madagascar;MDG;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.82299995422363
Maldives;MDV;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.86999988555908
Afrique du Nord et Moyen-Orient;MEA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;10.2648531882785
Mexique;MEX;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.42000007629395
Îles Marshall;MHL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Revenu intermédiaire;MIC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.59856990321
Macédoine du Nord;MKD;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;22.3799991607666
Mali;MLI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.40999984741211
Malte;MLT;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4
Myanmar;MMR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.55999994277954
Afrique du Nord et Moyen-Orient (hors revenu élevé);MNA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;12.0747145385169
Monténégro;MNE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;16.0699996948242
Mongolie;MNG;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.3600001335144
Mariannes;MNP;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Mozambique;MOZ;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.45099997520447
Mauritanie;MRT;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;10.3400001525879
Maurice;MUS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.75
Malawi;MWI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.76000022888184
Malaisie;MYS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.41000008583069
Amérique du Nord;NAC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.57802386299283
Namibie;NAM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;21.6389999389648
Nouvelle-Calédonie;NCL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;14.7849998474121
Niger;NER;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;0.541999995708466
Nigéria;NGA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.39000034332275
Nicaragua;NIC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.29999995231628
Pays-Bas;NLD;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.84000015258789
Norvège;NOR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.15999984741211
Népal;NPL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.31800007820129
Nauru;NRU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Nouvelle-Zélande;NZL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.73999977111816
Pays membres de l'OCDE;OED;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.90263694141078
Oman;OMN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.56500005722046
Autres petits états;OSS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;10.2798356944488
Pakistan;PAK;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.91599988937378
Panama;PAN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.85899996757507
Pérou;PER;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.69000005722046
Philippines;PHL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.54999995231628
Palaos;PLW;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Papouasie-Nouvelle-Guinée;PNG;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.50699996948242
Pologne;POL;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.8899998664856
de Pré-dividende démographique;PRE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.0643029156491
Porto Rico;PRI;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;10.8000001907349
Corée, République démocratique de;PRK;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.69799995422363
Portugal;PRT;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.86999988555908
Paraguay;PRY;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.6100001335144
Cisjordanie et Gaza;PSE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;25.6800003051758
Petits états insulaires du Pacifique;PSS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;2.81720434096303
de Post-dividende démographique;PST;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.83705623105587
Polynésie française;PYF;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;12.2130002975464
Qatar;QAT;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;0.140000000596046
Roumanie;ROU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.92999982833862
Fédération de Russie;RUS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.21000003814697
Rwanda;RWA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.13699996471405
Asie du Sud;SAS;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.11873934398138
Arabie saoudite;SAU;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;5.8899998664856
Soudan;SDN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;17.5330009460449
Sénégal;SEN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.69000005722046
Singapour;SGP;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.19999980926514
Îles Salomon;SLB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;0.707000017166138
Sierra Leone;SLE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.66300010681152
El Salvador;SLV;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.3899998664856
Saint-Marin;SMR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Somalie;SOM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;18.8819999694824
Serbie;SRB;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;13.4799995422363
Afrique subsaharienne (hors revenu élevé);SSA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.46644381609893
Soudan du Sud;SSD;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;12.253999710083
Afrique subsaharienne;SSF;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.46644381609893
Petits états;SST;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;9.80112009149457
Sao Tomé-et-Principe;STP;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;13.9739999771118
Suriname;SUR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.90399980545044
République slovaque;SVK;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.13000011444092
Slovénie;SVN;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.55999994277954
Suède;SWE;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.71999979019165
Eswatini;SWZ;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;22.7530002593994
Sint Maarten (Dutch part);SXM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Seychelles;SYC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
République arabe syrienne;SYR;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;8.7519998550415
Îles Turques-et-Caïques;TCA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;
Tchad;TCD;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;1.11899995803833
Asie de l’Est et Pacifique (BIRD et IDA);TEA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.92791854427252
Europe et Asie centrale (BIRD et IDA);TEC;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;7.09358583883512
Togo;TGO;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;3.74000000953674
Thaïlande;THA;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;0.829999983310699
Tadjikistan;TJK;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;6.9539999961853
Turkménistan;TKM;Chômage, total (% de la population) (estimation modélisée OIT);SL.UEM.TOTL.ZS;4.2039999961853
